delivery_id,delivery_address,delivery_city,delivery_state,delivery_zip,delivery_date,delivery_time_slot,delivery_fee,delivery_status,special_instructions,recipient_name,recipient_phone
b63bdedf-033c-4529-bb24-68d7d52678a5,3727 Gaines Knoll,Harveyton,MO,16636,2023-09-02,18:00-21:00,1410,pending,,Julie Jones,520-364-1858
c545ec8e-8e4e-47a8-a37a-c90d31722b75,378 Hutchinson Falls Apt. 308,South Lisa,NM,30874,2023-09-02,15:00-18:00,1391,delivered,,Latasha Barr,260-666-5664
a183742e-2185-4c93-a60b-ab14c08e071d,109 Katherine Land Suite 599,Port Reginald,TN,02800,2023-09-03,12:00-15:00,1144,delivered,,Tammy Johnson,001-669-271-6507x267
62bd367c-33e2-4bd8-b86d-8ba1780fc788,6752 Holden Flats Suite 541,Jacquelinestad,MD,76442,2023-09-05,15:00-18:00,943,in_transit,,Tammy Giles,001-872-840-2695x486
4fa53d48-b867-4542-989d-1e0040c26d85,5883 Amy Creek Suite 972,Lewishaven,MA,94287,2023-09-05,9:00-12:00,624,pending,Need step minute simple four expert speech owner.,Richard Downs,001-224-775-9695x443
f381101d-75fc-4a63-8172-f758d472e46e,78200 Calhoun Pass Suite 058,East Ronaldview,DC,50658,2023-09-04,18:00-21:00,796,delivered,Impact money idea play.,Willie Taylor,001-732-203-1032
c374cebc-63de-416b-9e3f-06c04a07df11,06468 Pamela Manors Apt. 778,Lake Danny,DC,82114,2023-09-06,18:00-21:00,841,delivered,,Frederick Long,668.880.4841
79724899-b3ef-4691-9250-81f295b29959,7471 Monica Meadow,Stevenfort,DE,90019,2023-09-05,18:00-21:00,1129,delivered,,Anthony Stokes,665.212.9041
93135749-26aa-4568-8383-2c8d65737f9e,2052 Jonathon Street,Leemouth,WY,11899,2023-09-06,9:00-12:00,1438,delivered,,Bobby Simmons,454.653.6171x3535
b3b604a1-d52d-4079-b411-915b2a503de0,53769 Tracy Prairie,Duranbury,AS,24183,2023-09-06,9:00-12:00,776,delivered,Not part where very.,Heather Phillips,370.478.6946x12794
b68c264a-991e-44e8-b0ad-cba96b197909,1886 Kimberly Lakes Suite 740,Kathybury,KY,14226,2023-09-07,18:00-21:00,1258,in_transit,,Carrie Carter DVM,(559)523-9461
c1eed03e-d4be-4f9a-9505-b5ca521fb8e6,068 Manning Ways,East Frederickberg,NY,07855,2023-09-05,9:00-12:00,1386,pending,,Sarah Jackson,586.445.3976
461a5d75-1d23-4929-ae49-862ffe64a343,826 Brianna Prairie,Lake Donald,NE,76188,2023-09-05,12:00-15:00,788,delivered,,Barbara Miller,+1-826-926-0176x14656
7a56890d-81d4-4e29-bcaf-9d62d2a27741,599 Serrano Circles Suite 638,West Ericshire,CO,73521,2023-09-06,12:00-15:00,1005,delivered,Realize remember action eight another price idea.,Ashley Bryant,(340)659-9934x833
ff90e1bc-364e-4b46-9331-44b8c173d0cd,999 Amy Way,Deanshire,PA,34471,2023-09-05,18:00-21:00,1496,delivered,,Mrs. Stephanie Munoz PhD,001-505-983-9761x160
a6ad21c8-37d7-4aaf-9c10-3f5ae7bd42b7,816 Harris Hills,West Willie,VT,56444,2023-09-08,15:00-18:00,1095,in_transit,,Michelle Moses,582-937-3124
d8a59fc1-1e1e-4059-ac68-4f48a12e375a,143 Mallory Groves Suite 656,Gabrielmouth,OR,55810,2023-09-08,18:00-21:00,567,delivered,,Dr. Patricia Donovan,5393263374
50c47f4a-1e1d-4511-8b64-a91d4b77b0d3,0710 Kristie Viaduct,New Ashleyport,CO,22084,2023-09-07,18:00-21:00,689,delivered,,Christopher Miller,8543000967
d13799ff-2de1-4e24-b74b-06d7dd6f6dfe,50266 Schmitt Rapids Suite 850,Saraville,PW,92895,2023-09-07,12:00-15:00,622,delivered,,Elizabeth Carpenter,659-525-8226x89383
8121c2e7-dfb3-4665-b211-4600cc03d34c,20529 Schultz Junctions,Devinhaven,MT,58844,2023-09-07,9:00-12:00,1210,pending,,Patrick Crawford,969.492.0315x316
9580a4d3-4833-49fb-8b60-403a10228e9c,1300 Bates Neck Suite 035,North Michelleberg,AZ,34947,2023-09-08,9:00-12:00,1058,delivered,,Jaime Cole,258-851-9062x021
c290cce0-1e8f-4cb1-808e-f4596ce492e4,66081 Laura Corners Apt. 266,North Miguel,CO,31328,2023-09-08,12:00-15:00,1324,pending,,Adam Callahan,(361)329-6442x583
b12a5190-4044-46ed-907c-be3dd9f52590,520 Mercado Dam,Port Paul,IL,08362,2023-09-10,12:00-15:00,1229,pending,,Jeremy Rich,773-971-3901
429c74e5-8c1a-432a-b09f-dc683921ab82,63105 Rodriguez Spurs Suite 374,Debbiechester,OK,15037,2023-09-10,12:00-15:00,907,pending,Want candidate save police mention indicate.,Jennifer Romero,382-934-9247x267
85a35479-a25f-4654-8581-8513573d4cf0,069 Linda Shoal,South Judith,ID,64129,2023-09-11,12:00-15:00,715,pending,,Austin Stevens,+1-982-356-6479x029
9f67cd25-5e36-4f45-8023-8e1a3797340e,834 Mary Mews,Leonardchester,IN,11577,2023-09-09,12:00-15:00,853,delivered,Them form successful prevent recently among.,Tim Waters,588.550.4368x49434
3162c651-6261-4456-948f-957407a3ecaa,7647 Campbell Crossing Suite 708,Huntchester,ND,50416,2023-09-10,9:00-12:00,1149,delivered,,Amanda Burnett,639.663.7466x913
8ea58365-1fcc-456d-9fd5-17cdd3c6444e,009 Medina Greens Suite 651,Christinaburgh,MS,69888,2023-09-11,18:00-21:00,911,delivered,Require tax material occur prevent.,Kari Barker,490-484-8126
8ef75982-be11-4ece-be88-45b39fe32939,04394 Yates Shoals,North George,PR,02693,2023-09-12,15:00-18:00,866,delivered,,Elizabeth Hernandez,745-794-2848x903
7b3ba1b2-d33b-46d1-8e8b-6d4fffb0b077,34301 Damon Estates Apt. 651,Smithbury,WY,96378,2023-09-12,12:00-15:00,1038,in_transit,Chair major drug money perform nice.,Rebecca Sullivan,(563)405-1622x977
df3a2967-991c-4cfe-86fe-e918ff0abcba,1912 Robinson Way Apt. 679,Lake Cynthiahaven,WV,53818,2023-09-12,12:00-15:00,1317,pending,Attention market step majority these.,Patricia Castro,+1-336-311-6178x962
bb91f496-966b-4573-b109-3e3a2facfb08,006 Angelica Bridge,New Bridgetton,NC,96515,2023-09-12,18:00-21:00,751,delivered,,Corey Bryant,(202)567-5697x709
902f476f-1b49-4f37-9d3c-7319a9da2a4d,495 Joshua Cliffs,South Andrewport,FM,36385,2023-09-10,12:00-15:00,1325,delivered,,Rachel Walker,959-323-8666x201
2595e285-66dd-4c08-995b-428ac2d2af6d,988 Tina Lodge,North Sonyaville,AZ,59618,2023-09-12,15:00-18:00,505,delivered,,John Galloway MD,(729)477-2745x808
2fb51b47-2eb6-4e27-ab98-b468e3305178,36154 Williams Plains Suite 174,Lake Thomas,MA,84775,2023-09-13,15:00-18:00,1152,delivered,,Sherry Johnson,(389)668-7346
c5d54182-2c48-4493-b90b-6d1c59f26f37,6713 Brian Port,Taylortown,MO,08719,2023-09-13,15:00-18:00,709,delivered,Somebody usually test effort food general sign.,Michael Hernandez,5766494692
7c01356a-6fb5-412c-a314-98a296a1babe,85828 Rojas Prairie,East Margaretmouth,MH,18869,2023-09-14,9:00-12:00,593,in_transit,Himself consider good including pull born authority.,Hector Harvey,320-289-7032
f761eeda-42ca-4b09-aa37-de232d1589fa,091 Mckenzie Mall Apt. 838,Derrickview,ND,40175,2023-09-15,12:00-15:00,977,delivered,,Mark Meyers,4924823058
d684d3e3-c950-41ff-99d5-9f048f819b62,4039 Derek Glens,Petersonland,FM,34442,2023-09-15,9:00-12:00,635,pending,,Johnny Lee,883.767.7914x63202
abb66fe6-33b3-4daf-bda2-317cac8955f7,53899 Kyle Divide,Rileyside,AK,07417,2023-09-14,12:00-15:00,877,delivered,,John Johnson,922-965-4382x3954
5d49ac80-2757-4ec4-beef-c18158706b23,834 Whitehead Keys,Lake Davidfurt,AK,08473,2023-09-15,9:00-12:00,985,delivered,Should thank beat character.,Russell Jones,+1-430-241-2646x5669
c453c4da-c409-4667-9d77-0df483205abe,06703 Huber Meadows,South Rachelland,VT,19351,2023-09-15,18:00-21:00,676,delivered,,Megan Ewing,231-524-1918
